Orthogroup	Ahalleri_v2.1.0.priTranscripts	Alyrata_v2.1.priTranscripts	Athaliana_Araport11.priTranscripts	Boleracea_capitata_v1.0.priTranscripts	Brapa_v1.3.priTranscripts
119	OG0000118	4	4	3	9	9
120	OG0000119	3	11	4	5	6
121	OG0000120	2	25	2	0	0
122	OG0000121	4	7	6	6	6
123	OG0000122	0	20	9	0	0
124	OG0000123	0	0	0	29	0
125	OG0000124	0	0	0	2	27
126	OG0000125	4	4	4	9	7
127	OG0000126	28	0	0	0	0
128	OG0000127	28	0	0	0	0
129	OG0000128	19	7	2	0	0
130	OG0000129	1	3	6	0	18
131	OG0000130	4	4	5	8	7
132	OG0000131	4	8	6	4	6
133	OG0000132	8	6	5	8	1
134	OG0000133	1	26	0	0	1
135	OG0000134	0	16	9	0	3
136	OG0000135	5	5	5	4	8
137	OG0000136	27	0	0	0	0
138	OG0000137	5	5	4	6	7
139	OG0000138	27	0	0	0	0
140	OG0000139	5	4	4	7	7
141	OG0000140	5	5	6	6	5
142	OG0000141	3	1	10	5	8
143	OG0000142	5	8	8	3	3
144	OG0000143	7	8	5	3	4
145	OG0000144	1	1	5	2	18
146	OG0000145	25	0	1	0	0
147	OG0000146	5	6	6	4	5
148	OG0000147	4	5	4	7	6
149	OG0000148	24	1	0	1	0
150	OG0000149	23	2	0	0	1
151	OG0000150	4	5	6	6	5
152	OG0000151	1	1	0	24	0
153	OG0000152	8	3	11	2	2
154	OG0000153	1	1	1	8	15
155	OG0000154	1	21	4	0	0
156	OG0000155	0	0	0	22	4
157	OG0000156	0	0	0	2	24
158	OG0000157	5	5	5	4	6
159	OG0000158	24	1	0	0	0
160	OG0000159	25	0	0	0	0
161	OG0000160	25	0	0	0	0
162	OG0000161	4	4	4	6	7
163	OG0000162	3	10	2	2	8
164	OG0000163	8	5	5	2	5
165	OG0000164	5	4	7	3	6
166	OG0000165	6	3	4	7	5
167	OG0000166	25	0	0	0	0
168	OG0000167	6	8	3	1	7
169	OG0000168	10	14	0	1	0
170	OG0000169	4	10	4	4	3
171	OG0000170	4	5	6	3	7
172	OG0000171	8	0	2	2	13
173	OG0000172	2	5	4	8	6
174	OG0000173	3	3	6	4	9
175	OG0000174	4	3	4	7	7
176	OG0000175	1	3	2	12	7
177	OG0000176	4	6	5	5	5
178	OG0000177	4	5	5	5	6
179	OG0000178	3	5	8	5	4
180	OG0000179	0	0	0	25	0
181	OG0000180	7	6	5	3	3
182	OG0000181	24	0	0	0	0
183	OG0000182	5	3	8	3	5
184	OG0000183	3	10	2	3	6
185	OG0000184	14	1	1	1	7
186	OG0000185	16	2	2	0	4
187	OG0000186	23	0	1	0	0
188	OG0000187	4	5	5	4	6
189	OG0000188	23	0	0	1	0
190	OG0000189	1	6	17	0	0
191	OG0000190	4	4	3	5	8
192	OG0000191	4	4	4	3	9
193	OG0000192	4	6	3	1	10
194	OG0000193	4	1	7	4	8
195	OG0000194	4	5	7	4	4
196	OG0000195	3	6	5	1	9
197	OG0000196	4	5	4	6	5
198	OG0000197	19	2	3	0	0
199	OG0000198	2	0	0	10	12
200	OG0000199	5	8	6	4	1
201	OG0000200	4	3	15	1	1
202	OG0000201	4	11	4	1	4
203	OG0000202	1	4	9	6	4
204	OG0000203	3	7	7	3	4
205	OG0000204	6	6	8	0	4
206	OG0000205	5	8	5	3	3
207	OG0000206	0	11	13	0	0
208	OG0000207	0	1	0	7	16
209	OG0000208	0	1	0	23	0
210	OG0000209	0	0	0	24	0
211	OG0000210	4	4	4	5	6
212	OG0000211	3	3	3	5	9
213	OG0000212	23	0	0	0	0
214	OG0000213	22	0	0	0	1
215	OG0000214	4	10	5	0	4
216	OG0000215	20	2	1	0	0
217	OG0000216	6	6	7	2	2
218	OG0000217	3	4	3	8	5
219	OG0000218	4	4	5	3	7
220	OG0000219	1	3	3	8	8
221	OG0000220	2	9	9	1	2
222	OG0000221	9	3	4	6	1
223	OG0000222	2	4	5	2	10
224	OG0000223	4	4	3	5	7
225	OG0000224	4	4	4	5	6
226	OG0000225	2	11	1	1	8
227	OG0000226	2	3	4	3	11
228	OG0000227	4	5	7	3	4
229	OG0000228	4	5	6	4	4
230	OG0000229	5	3	4	6	5
231	OG0000230	1	2	20	0	0
232	OG0000231	5	8	4	3	3
233	OG0000232	1	3	5	5	9
234	OG0000233	0	0	0	23	0
235	OG0000234	0	0	0	4	19
236	OG0000235	0	0	0	11	12
237	OG0000236	22	0	0	0	0
238	OG0000237	21	0	1	0	0
239	OG0000238	22	0	0	0	0
240	OG0000239	5	4	5	4	4
241	OG0000240	20	1	1	0	0
242	OG0000241	22	0	0	0	0
243	OG0000242	2	1	1	2	16
244	OG0000243	3	3	3	7	6
245	OG0000244	3	3	3	5	8
246	OG0000245	6	16	0	0	0
247	OG0000246	5	7	2	3	5
248	OG0000247	6	5	4	4	3
249	OG0000248	3	3	3	7	6
250	OG0000249	3	7	3	4	5
251	OG0000250	4	3	3	5	7
252	OG0000251	4	4	6	3	5
253	OG0000252	2	8	5	1	6
254	OG0000253	2	6	9	2	3
255	OG0000254	4	6	4	4	4
256	OG0000255	4	5	6	4	3
257	OG0000256	4	7	8	1	2
258	OG0000257	6	6	7	1	2
259	OG0000258	4	5	3	3	7
260	OG0000259	4	5	3	1	9
261	OG0000260	2	1	1	18	0
262	OG0000261	4	4	5	4	5
263	OG0000262	1	0	0	21	0
264	OG0000263	6	4	2	6	4
265	OG0000264	0	1	1	16	4
266	OG0000265	0	5	11	0	6
267	OG0000266	0	0	1	1	20
268	OG0000267	0	0	0	22	0
269	OG0000268	0	0	0	21	1
270	OG0000269	0	0	0	1	21
271	OG0000270	4	3	3	5	6
272	OG0000271	16	2	2	0	1
273	OG0000272	5	5	5	2	4
274	OG0000273	4	4	4	4	5
275	OG0000274	3	10	4	1	3
276	OG0000275	4	3	4	5	5
277	OG0000276	5	4	4	4	4
278	OG0000277	3	3	7	4	4
279	OG0000278	3	3	3	6	6
280	OG0000279	5	3	8	3	2
281	OG0000280	4	3	4	5	5
282	OG0000281	4	3	6	4	4
283	OG0000282	3	4	5	4	5
284	OG0000283	2	4	4	1	10
285	OG0000284	4	13	4	0	0
286	OG0000285	3	3	3	6	6
287	OG0000286	3	7	3	4	4
288	OG0000287	6	4	4	3	4
289	OG0000288	3	2	8	1	7
290	OG0000289	5	7	5	2	2
291	OG0000290	5	4	8	0	4
292	OG0000291	1	1	2	10	7
293	OG0000292	0	12	7	0	2
294	OG0000293	0	1	0	20	0
295	OG0000294	0	1	0	0	20
296	OG0000295	0	1	0	3	17
297	OG0000296	0	0	0	21	0
298	OG0000297	0	0	0	20	1
299	OG0000298	0	0	0	0	21
300	OG0000299	5	14	1	0	0
301	OG0000300	20	0	0	0	0
302	OG0000301	4	3	3	5	5
