#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.750301	4.08887e-166	5.01189e-135	8.15833e-32	N/S
null	1.2497	5.01189e-135	5.01189e-135	1	*
null	0.750301	3.08281e-46	3.25081e-38	9.48323e-09	N/S
null	1.2497	3.25081e-38	3.25081e-38	1	*
null	0.750301	2.85579e-32	1.17964e-26	2.42091e-06	N/S
null	1.2497	1.17963e-26	1.17964e-26	0.999998	*
null	0.750301	4.66129e-20	2.03469e-17	0.00229091	N/S
null	1.2497	2.03003e-17	2.03469e-17	0.997709	*
null	0.750301	1.04553e-60	5.90725e-47	1.76992e-14	N/S
null	1.2497	5.90725e-47	5.90725e-47	1	*
null	0.750301	2.37307e-34	2.86301e-28	8.28873e-07	N/S
null	1.2497	2.86301e-28	2.86301e-28	0.999999	*
null	0.750301	2.11881e-31	2.32346e-25	9.11922e-07	N/S
null	1.2497	2.32345e-25	2.32346e-25	0.999999	*
null	0.750301	2.33757e-19	3.49819e-17	0.00668222	N/S
null	1.2497	3.47482e-17	3.49819e-17	0.993318	*
null	0.750301	7.53638e-29	5.43614e-24	1.38635e-05	N/S
null	1.2497	5.43607e-24	5.43614e-24	0.999986	*
null	0.750301	1.0316e-31	5.13484e-25	2.00902e-07	N/S
null	1.2497	5.13484e-25	5.13484e-25	1	*
null	0.750301	5.34807e-17	2.96346e-15	0.0180467	N/S
null	1.2497	2.90998e-15	2.96346e-15	0.981953	*
null	0.750301	2.3965e-43	1.52862e-33	1.56775e-10	N/S
null	1.2497	1.52862e-33	1.52862e-33	1	*
null	0.750301	1.62245e-15	5.04827e-14	0.0321387	N/S
null	1.2497	4.88603e-14	5.04827e-14	0.967861	*
null	0.750301	2.00706e-26	1.87704e-21	1.06927e-05	N/S
null	1.2497	1.87702e-21	1.87704e-21	0.999989	*
null	0.750301	5.96967e-55	3.09065e-45	1.93152e-10	N/S
null	1.2497	3.09065e-45	3.09065e-45	1	*
null	0.750301	1.30437e-15	6.34992e-14	0.0205416	N/S
null	1.2497	6.21948e-14	6.34992e-14	0.979458	*
null	0.750301	2.53452e-32	8.07803e-27	3.13755e-06	N/S
null	1.2497	8.078e-27	8.07803e-27	0.999997	*
null	0.750301	2.42963e-18	3.81933e-16	0.0063614	N/S
null	1.2497	3.79504e-16	3.81933e-16	0.993639	*
null	0.750301	3.38648e-15	1.55795e-13	0.0217368	N/S
null	1.2497	1.52409e-13	1.55795e-13	0.978263	*
null	0.750301	1.76301e-24	1.31936e-20	0.000133626	N/S
null	1.2497	1.31918e-20	1.31936e-20	0.999866	*
null	0.750301	8.36365e-16	3.50203e-14	0.0238823	N/S
null	1.2497	3.4184e-14	3.50203e-14	0.976118	*
