#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.750301	2.89668e-15	1.42574e-13	0.0203171	N/S
null	1.2497	1.39677e-13	1.42574e-13	0.979683	*
null	0.750301	2.34664e-23	2.00144e-19	0.000117247	N/S
null	1.2497	2.00121e-19	2.00144e-19	0.999883	*
null	0.750301	2.36302e-19	2.1387e-16	0.00110489	N/S
null	1.2497	2.13634e-16	2.1387e-16	0.998895	*
null	0.750301	8.22852e-32	6.20094e-25	1.32698e-07	N/S
null	1.2497	6.20094e-25	6.20094e-25	1	*
null	0.750301	1.65279e-22	7.02011e-19	0.000235436	N/S
null	1.2497	7.01846e-19	7.02011e-19	0.999765	*
null	0.750301	2.84084e-49	6.7721e-41	4.19491e-09	N/S
null	1.2497	6.7721e-41	6.7721e-41	1	*
null	0.750301	5.75578e-44	1.8763e-36	3.06762e-08	N/S
null	1.2497	1.8763e-36	1.8763e-36	1	*
null	0.750301	4.95535e-12	3.99263e-11	0.124112	N/S
null	1.2497	3.49709e-11	3.99263e-11	0.875888	N/S
null	0.750301	1.02528e-13	2.90762e-12	0.0352619	N/S
null	1.2497	2.80509e-12	2.90762e-12	0.964738	*
null	0.750301	3.00819e-11	2.78944e-10	0.107842	N/S
null	1.2497	2.48862e-10	2.78944e-10	0.892158	N/S
null	0.750301	4.9375e-15	1.74806e-13	0.0282457	N/S
null	1.2497	1.69868e-13	1.74806e-13	0.971754	*
null	0.750301	1.368e-13	1.6841e-12	0.0812301	N/S
null	1.2497	1.5473e-12	1.6841e-12	0.91877	N/S
null	0.750301	7.29177e-14	1.7678e-12	0.0412477	N/S
null	1.2497	1.69488e-12	1.7678e-12	0.958752	*
null	0.750301	2.65486e-13	3.25836e-12	0.0814784	N/S
null	1.2497	2.99287e-12	3.25836e-12	0.918522	N/S
null	0.750301	5.01211e-19	2.51052e-16	0.00199644	N/S
null	1.2497	2.50551e-16	2.51052e-16	0.998004	*
null	0.750301	7.63489e-25	5.84995e-21	0.000130512	N/S
null	1.2497	5.84919e-21	5.84995e-21	0.999869	*
null	0.750301	1.81061e-19	9.10834e-17	0.00198786	N/S
null	1.2497	9.09023e-17	9.10834e-17	0.998012	*
null	0.750301	9.61847e-07	2.61671e-06	0.367579	N/S
null	1.2497	1.65486e-06	2.61671e-06	0.632421	N/S
null	0.750301	2.42492e-21	3.91844e-18	0.00061885	N/S
null	1.2497	3.91601e-18	3.91844e-18	0.999381	*
null	0.750301	1.92794e-18	9.68604e-16	0.00199043	N/S
null	1.2497	9.66676e-16	9.68604e-16	0.99801	*
null	0.750301	3.5007e-45	1.79171e-37	1.95383e-08	N/S
null	1.2497	1.79171e-37	1.79171e-37	1	*
null	0.750301	1.13642e-14	6.62921e-13	0.0171426	N/S
null	1.2497	6.51557e-13	6.62921e-13	0.982857	*
null	0.750301	1.29627e-12	2.05625e-11	0.0630403	N/S
null	1.2497	1.92663e-11	2.05625e-11	0.93696	N/S
null	0.750301	2.76484e-21	1.05118e-17	0.000263023	N/S
null	1.2497	1.0509e-17	1.05118e-17	0.999737	*
null	0.750301	1.44216e-13	3.25141e-12	0.044355	N/S
null	1.2497	3.10719e-12	3.25141e-12	0.955645	*
null	0.750301	6.95865e-33	8.42773e-27	8.25685e-07	N/S
null	1.2497	8.42773e-27	8.42773e-27	0.999999	*
null	0.750301	1.08907e-13	6.49027e-12	0.01678	N/S
null	1.2497	6.38136e-12	6.49027e-12	0.98322	*
null	0.750301	1.90725e-16	2.18838e-14	0.00871537	N/S
null	1.2497	2.16931e-14	2.18838e-14	0.991285	*
null	0.750301	8.49993e-15	3.08552e-13	0.0275478	N/S
null	1.2497	3.00052e-13	3.08552e-13	0.972452	*
null	0.750301	1.00711e-15	1.25889e-13	0.00799997	N/S
null	1.2497	1.24882e-13	1.25889e-13	0.992	*
null	0.750301	4.47013e-14	8.11688e-13	0.0550719	N/S
null	1.2497	7.66987e-13	8.11688e-13	0.944928	N/S
null	0.750301	2.17203e-12	2.67278e-11	0.0812649	N/S
null	1.2497	2.45557e-11	2.67278e-11	0.918735	N/S
null	0.750301	8.15082e-31	6.5935e-25	1.23619e-06	N/S
null	1.2497	6.5935e-25	6.5935e-25	0.999999	*
null	0.750301	1.15192e-24	7.82808e-21	0.000147152	N/S
null	1.2497	7.82693e-21	7.82808e-21	0.999853	*
null	0.750301	1.24357e-14	1.43984e-12	0.00863688	N/S
null	1.2497	1.4274e-12	1.43984e-12	0.991363	*
null	0.750301	1.55874e-40	1.14312e-33	1.36358e-07	N/S
null	1.2497	1.14312e-33	1.14312e-33	1	*
null	0.750301	1.651e-18	8.98812e-16	0.00183687	N/S
null	1.2497	8.97161e-16	8.98812e-16	0.998163	*
null	0.750301	5.66686e-08	1.65632e-07	0.342135	N/S
null	1.2497	1.08964e-07	1.65632e-07	0.657865	N/S
null	0.750301	4.67083e-14	2.90617e-12	0.0160721	N/S
null	1.2497	2.85946e-12	2.90617e-12	0.983928	*
null	0.750301	4.1514e-16	6.02152e-14	0.00689427	N/S
null	1.2497	5.98001e-14	6.02152e-14	0.993106	*
null	0.750301	9.04497e-39	2.69548e-32	3.3556e-07	N/S
null	1.2497	2.69548e-32	2.69548e-32	1	*
null	0.750301	3.04494e-11	1.64258e-10	0.185375	N/S
null	1.2497	1.33809e-10	1.64258e-10	0.814625	N/S
null	0.750301	3.21075e-15	1.05038e-13	0.0305676	N/S
null	1.2497	1.01827e-13	1.05038e-13	0.969432	*
null	0.750301	6.37053e-07	1.63454e-06	0.389744	N/S
null	1.2497	9.97489e-07	1.63454e-06	0.610256	N/S
null	0.750301	2.99945e-38	7.94591e-32	3.77483e-07	N/S
null	1.2497	7.9459e-32	7.94591e-32	1	*
null	0.750301	1.42844e-13	3.69966e-12	0.0386101	N/S
null	1.2497	3.55682e-12	3.69966e-12	0.96139	*
null	0.750301	4.59528e-18	1.33591e-15	0.00343982	N/S
null	1.2497	1.33131e-15	1.33591e-15	0.99656	*
null	0.750301	1.30019e-11	8.29442e-11	0.156755	N/S
null	1.2497	6.99423e-11	8.29442e-11	0.843245	N/S
null	0.750301	6.07815e-13	4.43044e-11	0.0137191	N/S
null	1.2497	4.36966e-11	4.43044e-11	0.986281	*
null	0.750301	6.36178e-21	2.43147e-17	0.000261644	N/S
null	1.2497	2.43083e-17	2.43147e-17	0.999738	*
null	0.750301	3.0266e-26	1.26238e-21	2.39754e-05	N/S
null	1.2497	1.26235e-21	1.26238e-21	0.999976	*
null	0.750301	8.56421e-19	4.5187e-16	0.00189528	N/S
null	1.2497	4.51014e-16	4.5187e-16	0.998105	*
null	0.750301	1.80023e-23	2.27317e-19	7.91948e-05	N/S
null	1.2497	2.27299e-19	2.27317e-19	0.999921	*
null	0.750301	6.0193e-06	1.30048e-05	0.462852	N/S
null	1.2497	6.9855e-06	1.30048e-05	0.537148	N/S
null	0.750301	7.27393e-16	3.87347e-13	0.00187788	N/S
null	1.2497	3.8662e-13	3.87347e-13	0.998122	*
null	0.750301	6.49977e-13	8.29942e-12	0.078316	N/S
null	1.2497	7.64944e-12	8.29942e-12	0.921684	N/S
null	0.750301	4.53299e-18	2.33002e-15	0.00194547	N/S
null	1.2497	2.32549e-15	2.33002e-15	0.998055	*
null	0.750301	9.27131e-13	1.77449e-11	0.0522478	N/S
null	1.2497	1.68177e-11	1.77449e-11	0.947752	N/S
null	0.750301	1.27548e-14	9.49193e-13	0.0134375	N/S
null	1.2497	9.36438e-13	9.49193e-13	0.986563	*
null	0.750301	6.83857e-23	3.88054e-19	0.000176227	N/S
null	1.2497	3.87985e-19	3.88054e-19	0.999824	*
null	0.750301	3.721e-38	7.11359e-32	5.23084e-07	N/S
null	1.2497	7.11358e-32	7.11359e-32	0.999999	*
null	0.750301	1.68914e-18	6.12184e-16	0.0027592	N/S
null	1.2497	6.10495e-16	6.12184e-16	0.997241	*
null	0.750301	8.01164e-12	5.01801e-11	0.159658	N/S
null	1.2497	4.21685e-11	5.01801e-11	0.840342	N/S
null	0.750301	1.81983e-12	3.58604e-11	0.0507475	N/S
null	1.2497	3.40406e-11	3.58604e-11	0.949252	N/S
null	0.750301	1.11976e-13	3.46874e-12	0.0322814	N/S
null	1.2497	3.35676e-12	3.46874e-12	0.967719	*
null	0.750301	2.20501e-26	1.98011e-21	1.11358e-05	N/S
null	1.2497	1.98009e-21	1.98011e-21	0.999989	*
null	0.750301	1.46107e-11	1.01115e-10	0.144497	N/S
null	1.2497	8.65038e-11	1.01115e-10	0.855503	N/S
null	0.750301	5.75482e-27	4.47265e-22	1.28667e-05	N/S
null	1.2497	4.47259e-22	4.47265e-22	0.999987	*
null	0.750301	7.32913e-12	9.25752e-11	0.0791694	N/S
null	1.2497	8.52461e-11	9.25752e-11	0.920831	N/S
null	0.750301	1.94164e-26	3.27423e-22	5.93007e-05	N/S
null	1.2497	3.27403e-22	3.27423e-22	0.999941	*
null	0.750301	1.92664e-11	3.82322e-10	0.050393	N/S
null	1.2497	3.63056e-10	3.82322e-10	0.949607	N/S
null	0.750301	5.43252e-11	3.5738e-10	0.15201	N/S
null	1.2497	3.03055e-10	3.5738e-10	0.84799	N/S
null	0.750301	2.58582e-12	3.23714e-11	0.0798799	N/S
null	1.2497	2.97855e-11	3.23714e-11	0.92012	N/S
null	0.750301	1.92612e-14	4.5012e-13	0.0427914	N/S
null	1.2497	4.30859e-13	4.5012e-13	0.957209	*
null	0.750301	8.9939e-24	1.26182e-19	7.1277e-05	N/S
null	1.2497	1.26173e-19	1.26182e-19	0.999929	*
null	0.750301	3.84024e-11	2.09465e-10	0.183335	N/S
null	1.2497	1.71063e-10	2.09465e-10	0.816665	N/S
null	0.750301	1.91467e-11	1.28868e-10	0.148575	N/S
null	1.2497	1.09722e-10	1.28868e-10	0.851425	N/S
null	0.750301	1.29484e-11	1.08717e-10	0.119102	N/S
null	1.2497	9.57688e-11	1.08717e-10	0.880898	N/S
null	0.750301	2.86843e-11	1.51219e-10	0.189687	N/S
null	1.2497	1.22534e-10	1.51219e-10	0.810313	N/S
null	0.750301	1.24181e-11	2.80337e-10	0.0442971	N/S
null	1.2497	2.67919e-10	2.80337e-10	0.955703	*
null	0.750301	3.28083e-14	1.33338e-12	0.0246055	N/S
null	1.2497	1.30057e-12	1.33338e-12	0.975395	*
null	0.750301	3.77014e-14	1.00405e-12	0.0375495	N/S
null	1.2497	9.66344e-13	1.00405e-12	0.96245	*
null	0.750301	1.09803e-07	3.89128e-07	0.282176	N/S
null	1.2497	2.79326e-07	3.89128e-07	0.717824	N/S
null	0.750301	1.11083e-34	4.27326e-29	2.5995e-06	N/S
null	1.2497	4.27325e-29	4.27326e-29	0.999997	*
null	0.750301	8.17567e-12	6.55275e-11	0.124767	N/S
null	1.2497	5.73518e-11	6.55275e-11	0.875233	N/S
null	0.750301	3.40516e-11	2.49295e-10	0.136591	N/S
null	1.2497	2.15244e-10	2.49295e-10	0.863409	N/S
null	0.750301	1.51084e-32	3.14113e-27	4.80988e-06	N/S
null	1.2497	3.14111e-27	3.14113e-27	0.999995	*
null	0.750301	1.26587e-10	5.62817e-10	0.224917	N/S
null	1.2497	4.36229e-10	5.62817e-10	0.775083	N/S
null	0.750301	1.53699e-24	7.59388e-20	2.02399e-05	N/S
null	1.2497	7.59372e-20	7.59388e-20	0.99998	*
null	0.750301	4.46929e-18	1.98212e-15	0.0022548	N/S
null	1.2497	1.97765e-15	1.98212e-15	0.997745	*
null	0.750301	1.40706e-10	2.42125e-09	0.0581131	N/S
null	1.2497	2.28054e-09	2.42125e-09	0.941887	N/S
null	0.750301	3.26975e-24	6.91503e-20	4.72846e-05	N/S
null	1.2497	6.91471e-20	6.91503e-20	0.999953	*
null	0.750301	3.84024e-11	2.09465e-10	0.183335	N/S
null	1.2497	1.71063e-10	2.09465e-10	0.816665	N/S
null	0.750301	2.06172e-10	9.73827e-10	0.211713	N/S
null	1.2497	7.67655e-10	9.73827e-10	0.788287	N/S
null	0.750301	5.63316e-13	1.58908e-11	0.0354492	N/S
null	1.2497	1.53275e-11	1.58908e-11	0.964551	*
null	0.750301	1.69945e-14	5.91854e-13	0.0287141	N/S
null	1.2497	5.74859e-13	5.91854e-13	0.971286	*
null	0.750301	4.60528e-12	5.50988e-11	0.0835823	N/S
null	1.2497	5.04935e-11	5.50988e-11	0.916418	N/S
null	0.750301	1.89084e-12	2.49179e-11	0.0758826	N/S
null	1.2497	2.30271e-11	2.49179e-11	0.924117	N/S
null	0.750301	4.04863e-14	1.78739e-12	0.0226511	N/S
null	1.2497	1.7469e-12	1.78739e-12	0.977349	*
null	0.750301	3.57737e-21	1.13486e-17	0.000315226	N/S
null	1.2497	1.1345e-17	1.13486e-17	0.999685	*
null	0.750301	3.73433e-13	7.29052e-12	0.0512218	N/S
null	1.2497	6.91709e-12	7.29052e-12	0.948778	N/S
null	0.750301	3.63588e-11	2.82425e-10	0.128738	N/S
null	1.2497	2.46066e-10	2.82425e-10	0.871262	N/S
null	0.750301	1.27545e-14	4.71026e-13	0.0270781	N/S
null	1.2497	4.58271e-13	4.71026e-13	0.972922	*
null	0.750301	7.01218e-11	7.17758e-10	0.0976956	N/S
null	1.2497	6.47636e-10	7.17758e-10	0.902304	N/S
null	0.750301	1.95038e-09	7.14845e-09	0.27284	N/S
null	1.2497	5.19807e-09	7.14845e-09	0.72716	N/S
null	0.750301	1.16354e-10	7.29731e-10	0.159447	N/S
null	1.2497	6.13377e-10	7.29731e-10	0.840553	N/S
null	0.750301	1.64939e-13	1.48665e-11	0.0110946	N/S
null	1.2497	1.47016e-11	1.48665e-11	0.988905	*
null	0.750301	7.25269e-11	3.62828e-10	0.199893	N/S
null	1.2497	2.90301e-10	3.62828e-10	0.800107	N/S
null	0.750301	1.9712e-10	8.12368e-10	0.242648	N/S
null	1.2497	6.15249e-10	8.12368e-10	0.757352	N/S
null	0.750301	8.25671e-11	5.73035e-10	0.144087	N/S
null	1.2497	4.90468e-10	5.73035e-10	0.855913	N/S
null	0.750301	2.48361e-13	4.05317e-12	0.0612758	N/S
null	1.2497	3.80481e-12	4.05317e-12	0.938724	N/S
null	0.750301	1.60583e-12	2.97754e-11	0.0539315	N/S
null	1.2497	2.81695e-11	2.97754e-11	0.946068	N/S
null	0.750301	3.67542e-13	1.19828e-11	0.0306724	N/S
null	1.2497	1.16153e-11	1.19828e-11	0.969328	*
null	0.750301	2.96725e-20	1.59034e-17	0.00186579	N/S
null	1.2497	1.58737e-17	1.59034e-17	0.998134	*
null	0.750301	2.17188e-23	6.07852e-20	0.000357304	N/S
null	1.2497	6.07634e-20	6.07852e-20	0.999643	*
null	0.750301	2.30307e-32	3.03009e-27	7.60068e-06	N/S
null	1.2497	3.03006e-27	3.03009e-27	0.999992	*
null	0.750301	1.92243e-10	8.47203e-10	0.226914	N/S
null	1.2497	6.5496e-10	8.47203e-10	0.773086	N/S
null	0.750301	2.30307e-32	3.03009e-27	7.60068e-06	N/S
null	1.2497	3.03006e-27	3.03009e-27	0.999992	*
null	0.750301	1.46348e-21	8.47803e-18	0.000172621	N/S
null	1.2497	8.47657e-18	8.47803e-18	0.999827	*
null	0.750301	2.65074e-10	1.27908e-09	0.207238	N/S
null	1.2497	1.01401e-09	1.27908e-09	0.792762	N/S
null	0.750301	6.02317e-10	2.3557e-09	0.255685	N/S
null	1.2497	1.75338e-09	2.3557e-09	0.744315	N/S
null	0.750301	1.30248e-11	1.71161e-10	0.0760971	N/S
null	1.2497	1.58136e-10	1.71161e-10	0.923903	N/S
null	0.750301	2.57052e-11	3.55075e-10	0.0723936	N/S
null	1.2497	3.2937e-10	3.55075e-10	0.927606	N/S
null	0.750301	3.40516e-11	2.49295e-10	0.136591	N/S
null	1.2497	2.15244e-10	2.49295e-10	0.863409	N/S
null	0.750301	3.77743e-12	7.44157e-11	0.0507612	N/S
null	1.2497	7.06383e-11	7.44157e-11	0.949239	N/S
null	0.750301	8.44966e-11	4.75113e-10	0.177846	N/S
null	1.2497	3.90616e-10	4.75113e-10	0.822154	N/S
null	0.750301	2.17453e-27	4.52455e-23	4.80606e-05	N/S
null	1.2497	4.52434e-23	4.52455e-23	0.999952	*
null	0.750301	2.67545e-15	5.21543e-13	0.00512987	N/S
null	1.2497	5.18868e-13	5.21543e-13	0.99487	*
null	0.750301	8.40373e-13	1.17508e-11	0.0715164	N/S
null	1.2497	1.09104e-11	1.17508e-11	0.928484	N/S
null	0.750301	2.63242e-18	1.89815e-15	0.00138684	N/S
null	1.2497	1.89551e-15	1.89815e-15	0.998613	*
null	0.750301	2.41887e-15	2.82063e-13	0.00857563	N/S
null	1.2497	2.79644e-13	2.82063e-13	0.991424	*
null	0.750301	3.49961e-10	2.8384e-09	0.123295	N/S
null	1.2497	2.48844e-09	2.8384e-09	0.876705	N/S
null	0.750301	2.83392e-12	5.23537e-11	0.0541302	N/S
null	1.2497	4.95198e-11	5.23537e-11	0.94587	N/S
null	0.750301	3.37631e-17	6.15938e-15	0.00548158	N/S
null	1.2497	6.12562e-15	6.15938e-15	0.994518	*
null	0.750301	7.24273e-13	1.2028e-11	0.0602155	N/S
null	1.2497	1.13037e-11	1.2028e-11	0.939785	N/S
null	0.750301	1.21964e-22	1.06387e-18	0.000114642	N/S
null	1.2497	1.06375e-18	1.06387e-18	0.999885	*
null	0.750301	6.72372e-11	1.5036e-09	0.0447174	N/S
null	1.2497	1.43636e-09	1.5036e-09	0.955283	*
null	0.750301	1.22566e-23	4.23226e-19	2.896e-05	N/S
null	1.2497	4.23214e-19	4.23226e-19	0.999971	*
null	0.750301	4.8363e-10	1.80336e-09	0.268183	N/S
null	1.2497	1.31973e-09	1.80336e-09	0.731817	N/S
null	0.750301	2.93181e-09	1.02096e-08	0.287161	N/S
null	1.2497	7.27783e-09	1.02096e-08	0.712839	N/S
null	0.750301	1.87087e-16	3.64352e-14	0.00513478	N/S
null	1.2497	3.62481e-14	3.64352e-14	0.994865	*
null	0.750301	2.3124e-27	4.50523e-23	5.1327e-05	N/S
null	1.2497	4.505e-23	4.50523e-23	0.999949	*
null	0.750301	3.71525e-14	1.34753e-12	0.0275708	N/S
null	1.2497	1.31038e-12	1.34753e-12	0.972429	*
null	0.750301	3.16333e-11	3.46026e-10	0.0914189	N/S
null	1.2497	3.14393e-10	3.46026e-10	0.908581	N/S
null	0.750301	2.65074e-10	1.27908e-09	0.207238	N/S
null	1.2497	1.01401e-09	1.27908e-09	0.792762	N/S
null	0.750301	4.06337e-10	4.23734e-09	0.0958944	N/S
null	1.2497	3.831e-09	4.23734e-09	0.904106	N/S
null	0.750301	2.24914e-16	6.27598e-14	0.00358373	N/S
null	1.2497	6.25349e-14	6.27598e-14	0.996416	*
null	0.750301	6.04411e-15	2.1533e-13	0.028069	N/S
null	1.2497	2.09286e-13	2.1533e-13	0.971931	*
null	0.750301	1.1983e-09	6.86056e-09	0.174666	N/S
null	1.2497	5.66226e-09	6.86056e-09	0.825334	N/S
null	0.750301	2.65074e-10	1.27908e-09	0.207238	N/S
null	1.2497	1.01401e-09	1.27908e-09	0.792762	N/S
null	0.750301	4.8363e-10	1.80336e-09	0.268183	N/S
null	1.2497	1.31973e-09	1.80336e-09	0.731817	N/S
null	0.750301	9.28445e-14	6.49311e-12	0.0142989	N/S
null	1.2497	6.40026e-12	6.49311e-12	0.985701	*
null	0.750301	3.49513e-08	8.78778e-08	0.397727	N/S
null	1.2497	5.29264e-08	8.78778e-08	0.602273	N/S
null	0.750301	1.07866e-11	1.18281e-10	0.0911948	N/S
null	1.2497	1.07495e-10	1.18281e-10	0.908805	N/S
null	0.750301	8.44966e-11	4.75113e-10	0.177846	N/S
null	1.2497	3.90616e-10	4.75113e-10	0.822154	N/S
null	0.750301	4.56086e-11	2.93496e-10	0.155397	N/S
null	1.2497	2.47888e-10	2.93496e-10	0.844603	N/S
null	0.750301	1.18474e-21	9.43605e-18	0.000125555	N/S
null	1.2497	9.43486e-18	9.43605e-18	0.999874	*
null	0.750301	1.34445e-12	1.8607e-11	0.0722551	N/S
null	1.2497	1.72625e-11	1.8607e-11	0.927745	N/S
null	0.750301	2.47831e-08	7.68572e-08	0.322457	N/S
null	1.2497	5.20741e-08	7.68572e-08	0.677543	N/S
null	0.750301	4.77492e-30	2.14066e-25	2.23059e-05	N/S
null	1.2497	2.14061e-25	2.14066e-25	0.999978	*
null	0.750301	8.20766e-11	3.89731e-10	0.210598	N/S
null	1.2497	3.07655e-10	3.89731e-10	0.789402	N/S
null	0.750301	5.91519e-28	1.45895e-23	4.05442e-05	N/S
null	1.2497	1.45889e-23	1.45895e-23	0.999959	*
null	0.750301	3.20262e-07	7.97327e-07	0.40167	N/S
null	1.2497	4.77065e-07	7.97327e-07	0.59833	N/S
null	0.750301	2.56709e-10	1.72338e-09	0.148956	N/S
null	1.2497	1.46667e-09	1.72338e-09	0.851044	N/S
null	0.750301	2.93181e-09	1.02096e-08	0.287161	N/S
null	1.2497	7.27783e-09	1.02096e-08	0.712839	N/S
null	0.750301	3.59643e-12	4.79079e-11	0.0750697	N/S
null	1.2497	4.43115e-11	4.79079e-11	0.92493	N/S
null	0.750301	1.0282e-11	6.4422e-11	0.159603	N/S
null	1.2497	5.41401e-11	6.4422e-11	0.840397	N/S
null	0.750301	2.56709e-10	1.72338e-09	0.148956	N/S
null	1.2497	1.46667e-09	1.72338e-09	0.851044	N/S
null	0.750301	5.69177e-11	4.29451e-10	0.132536	N/S
null	1.2497	3.72533e-10	4.29451e-10	0.867464	N/S
null	0.750301	4.53852e-10	2.06687e-09	0.219584	N/S
null	1.2497	1.61302e-09	2.06687e-09	0.780416	N/S
null	0.750301	9.14689e-11	5.87287e-10	0.155748	N/S
null	1.2497	4.95818e-10	5.87287e-10	0.844252	N/S
null	0.750301	3.34864e-13	1.47644e-11	0.0226805	N/S
null	1.2497	1.44295e-11	1.47644e-11	0.97732	*
null	0.750301	2.48214e-13	1.25963e-11	0.0197053	N/S
null	1.2497	1.23481e-11	1.25963e-11	0.980295	*
null	0.750301	9.89539e-11	4.84703e-10	0.204154	N/S
null	1.2497	3.8575e-10	4.84703e-10	0.795846	N/S
null	0.750301	8.44966e-11	4.75113e-10	0.177846	N/S
null	1.2497	3.90616e-10	4.75113e-10	0.822154	N/S
null	0.750301	5.21017e-15	4.35126e-13	0.0119739	N/S
null	1.2497	4.29916e-13	4.35126e-13	0.988026	*
null	0.750301	3.53256e-15	2.37926e-13	0.0148473	N/S
null	1.2497	2.34393e-13	2.37926e-13	0.985153	*
null	0.750301	3.5972e-10	1.49864e-09	0.240031	N/S
null	1.2497	1.13892e-09	1.49864e-09	0.759969	N/S
null	0.750301	4.93217e-11	4.62603e-10	0.106618	N/S
null	1.2497	4.13282e-10	4.62603e-10	0.893382	N/S
null	0.750301	2.96089e-19	8.2523e-16	0.000358795	N/S
null	1.2497	8.24934e-16	8.2523e-16	0.999641	*
null	0.750301	4.8363e-10	1.80336e-09	0.268183	N/S
null	1.2497	1.31973e-09	1.80336e-09	0.731817	N/S
null	0.750301	5.6898e-23	1.15867e-18	4.91064e-05	N/S
null	1.2497	1.15861e-18	1.15867e-18	0.999951	*
null	0.750301	5.21315e-13	1.01847e-11	0.0511862	N/S
null	1.2497	9.66337e-12	1.01847e-11	0.948814	N/S
null	0.750301	1.2345e-16	1.03654e-13	0.00119098	N/S
null	1.2497	1.0353e-13	1.03654e-13	0.998809	*
null	0.750301	8.70377e-17	3.72008e-14	0.00233967	N/S
null	1.2497	3.71138e-14	3.72008e-14	0.99766	*
null	0.750301	4.53852e-10	2.06687e-09	0.219584	N/S
null	1.2497	1.61302e-09	2.06687e-09	0.780416	N/S
null	0.750301	2.17188e-23	6.07852e-20	0.000357304	N/S
null	1.2497	6.07634e-20	6.07852e-20	0.999643	*
null	0.750301	5.78824e-12	6.71233e-11	0.0862328	N/S
null	1.2497	6.13351e-11	6.71233e-11	0.913767	N/S
null	0.750301	7.97114e-10	2.61667e-09	0.30463	N/S
null	1.2497	1.81955e-09	2.61667e-09	0.69537	N/S
null	0.750301	2.69815e-14	1.93673e-12	0.0139315	N/S
null	1.2497	1.90974e-12	1.93673e-12	0.986069	*
null	0.750301	7.85514e-10	2.88487e-09	0.272288	N/S
null	1.2497	2.09935e-09	2.88487e-09	0.727712	N/S
null	0.750301	1.35278e-10	5.5945e-10	0.241805	N/S
null	1.2497	4.24172e-10	5.5945e-10	0.758195	N/S
null	0.750301	6.77688e-10	3.28867e-09	0.206068	N/S
null	1.2497	2.61098e-09	3.28867e-09	0.793932	N/S
null	0.750301	8.65295e-10	4.22265e-09	0.204917	N/S
null	1.2497	3.35736e-09	4.22265e-09	0.795083	N/S
null	0.750301	1.60583e-12	2.97754e-11	0.0539315	N/S
null	1.2497	2.81695e-11	2.97754e-11	0.946068	N/S
null	0.750301	7.85514e-10	2.88487e-09	0.272288	N/S
null	1.2497	2.09935e-09	2.88487e-09	0.727712	N/S
null	0.750301	3.34865e-10	1.55601e-09	0.215208	N/S
null	1.2497	1.22114e-09	1.55601e-09	0.784792	N/S
