#FamilyID	pvalue	Significant at 0.05
null	0.051	n
null	0.129	n
null	0	y
null	0.123	n
null	0.051	n
null	0.002	y
null	0.214	n
null	0.123	n
null	0.123	n
null	0.24	n
null	0.174	n
null	0.011	y
null	0.214	n
null	0.123	n
null	0.129	n
null	0.123	n
null	0.073	n
null	0.196	n
null	0.011	y
null	0.123	n
null	0.073	n
null	0.28	n
null	0.051	n
null	0.28	n
null	0.214	n
null	0.073	n
null	0.214	n
null	0.214	n
null	0.006	y
null	0.129	n
null	0.28	n
null	0.127	n
null	0.214	n
null	0.214	n
null	0.051	n
null	0.073	n
null	0.214	n
null	0.174	n
null	0.064	n
null	0.011	y
null	0.006	y
null	0.214	n
null	0.214	n
null	0.123	n
null	0.214	n
null	0	y
null	0.044	y
null	0.012	y
null	0.214	n
null	0	y
null	0.099	n
null	0.214	n
null	0.244	n
null	0.025	y
null	0.012	y
null	0.174	n
null	0.023	y
null	0.214	n
null	0.003	y
null	0.064	n
null	0.413	n
null	0.123	n
null	0.28	n
null	0.04	y
null	0.214	n
null	0.002	y
null	0.207	n
null	0.269	n
null	0.129	n
null	0.24	n
null	0.011	y
null	0.035	y
null	0.28	n
null	0.06	n
null	0.129	n
null	0.104	n
null	0.129	n
null	0.035	y
null	0.089	n
null	0	y
null	0.073	n
null	0.174	n
null	0.123	n
null	0.109	n
null	0.214	n
null	0.123	n
null	0.214	n
null	0.214	n
null	0.006	y
null	0.025	y
null	0.174	n
null	0.073	n
null	0.214	n
null	0.214	n
null	0.086	n
null	0.078	n
null	0.214	n
null	0.24	n
null	0.008	y
null	0.106	n
null	0.073	n
null	0.041	y
null	0.073	n
null	0.207	n
null	0.123	n
null	0.051	n
null	0.006	y
null	0.025	y
null	0.099	n
null	0.214	n
null	0.129	n
null	0.214	n
null	0.225	n
null	0.041	y
null	0.123	n
null	0.051	n
null	0.28	n
null	0.073	n
null	0.086	n
null	0.123	n
null	0.24	n
null	0.214	n
null	0.086	n
null	0.214	n
null	0.24	n
null	0.214	n
null	0.214	n
null	0.005	y
null	0.214	n
null	0.214	n
null	0.214	n
null	0.001	y
null	0.089	n
null	0.123	n
null	0.123	n
null	0.001	y
null	0.073	n
null	0.006	y
null	0.123	n
null	0.025	y
null	0.463	n
null	0.123	n
null	0.051	n
null	0.119	n
null	0.28	n
null	0.123	n
null	0.129	n
null	0.171	n
null	0.123	n
null	0.214	n
null	0.214	n
null	0.002	y
null	0.214	n
null	0.129	n
null	0.214	n
null	0.119	n
null	0.24	n
null	0.123	n
null	0.012	y
null	0.051	n
null	0.152	n
null	0.051	n
null	0	y
null	0.214	n
null	0.214	n
null	0.214	n
null	0.044	y
null	0.006	y
null	0.123	n
null	0.002	y
null	0.012	y
null	0.129	n
null	0.214	n
null	0.035	y
null	0.152	n
null	0.005	y
null	0.174	n
null	0.122	n
null	0.214	n
null	0.058	n
null	0.044	y
null	0.104	n
null	0.088	n
null	0.214	n
null	0.214	n
null	0	y
null	0.05	n
null	0.009	y
null	0.002	y
null	0	y
null	0	y
null	0.711	n
null	0.122	n
null	0.003	y
null	0.232	n
null	0.306	n
null	0.048	y
null	0	y
null	0.054	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.099	n
null	0.28	n
null	0.214	n
null	0.214	n
null	0.003	y
null	0.123	n
null	0	y
null	0.28	n
null	0.07	n
null	0.214	n
null	0.28	n
null	0.214	n
null	0.002	y
null	0.214	n
null	0.28	n
null	0.073	n
null	0.073	n
null	0.413	n
null	0.073	n
null	0.28	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.176	n
null	0.058	n
null	0	y
null	0.049	y
null	0.244	n
null	0.129	n
null	0.413	n
null	0.073	n
null	0.104	n
null	0.176	n
null	0.051	n
null	0.466	n
null	0.214	n
null	0.044	y
null	0.214	n
null	0.214	n
null	0.129	n
null	0.214	n
null	0.123	n
null	0.214	n
null	0.214	n
null	0.214	n
null	0.28	n
null	0.214	n
null	0.28	n
null	0.214	n
null	0	y
null	0.214	n
null	0.214	n
