FamilyID	Brapa_v1.3.priTranscripts<1>	Boleracea_capitata_v1.0.priTranscripts<2>	Athaliana_Araport11.priTranscripts<3>	Ahalleri_v2.1.0.priTranscripts<4>	Alyrata_v2.1.priTranscripts<5>	<6>	<7>	<8>	<9>
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
null	0.217363	0.649311	0.207606	0.120553	0.0422951	N/A	0.712276	0.717292	0.578592
