#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.750306	1.51505e-11	2.77217e-10	0.0546523	N/S
null	1.24969	2.62067e-10	2.77217e-10	0.945348	N/S
null	0.750306	1.37577e-12	3.24948e-11	0.0423383	N/S
null	1.24969	3.1119e-11	3.24948e-11	0.957662	*
null	0.750306	1.23766e-09	6.2953e-09	0.1966	N/S
null	1.24969	5.05764e-09	6.2953e-09	0.8034	N/S
null	0.750306	2.37508e-15	2.01826e-13	0.011768	N/S
null	1.24969	1.99451e-13	2.01826e-13	0.988232	*
null	0.750306	2.64994e-09	1.42062e-08	0.186533	N/S
null	1.24969	1.15563e-08	1.42062e-08	0.813467	N/S
null	0.750306	4.29031e-09	1.58886e-08	0.270024	N/S
null	1.24969	1.15983e-08	1.58886e-08	0.729976	N/S
null	0.750306	1.53212e-09	7.9872e-09	0.191822	N/S
null	1.24969	6.45507e-09	7.9872e-09	0.808178	N/S
null	0.750306	2.64994e-09	1.42062e-08	0.186533	N/S
null	1.24969	1.15563e-08	1.42062e-08	0.813467	N/S
null	0.750306	1.42909e-09	7.42784e-09	0.192396	N/S
null	1.24969	5.99876e-09	7.42784e-09	0.807604	N/S
null	0.750306	9.67217e-09	2.98333e-08	0.324207	N/S
null	1.24969	2.01612e-08	2.98333e-08	0.675793	N/S
null	0.750306	2.03327e-10	1.6381e-09	0.124124	N/S
null	1.24969	1.43477e-09	1.6381e-09	0.875876	N/S
null	0.750306	1.07062e-09	6.62898e-09	0.161506	N/S
null	1.24969	5.55836e-09	6.62898e-09	0.838494	N/S
null	0.750306	1.21258e-08	3.88331e-08	0.312253	N/S
null	1.24969	2.67074e-08	3.88331e-08	0.687747	N/S
null	0.750306	2.3912e-10	1.72927e-09	0.138277	N/S
null	1.24969	1.49016e-09	1.72927e-09	0.861723	N/S
null	0.750306	1.23664e-08	3.53509e-08	0.34982	N/S
null	1.24969	2.29845e-08	3.53509e-08	0.65018	N/S
null	0.750306	9.67217e-09	2.98333e-08	0.324207	N/S
null	1.24969	2.01612e-08	2.98333e-08	0.675793	N/S
null	0.750306	5.99683e-09	1.61554e-08	0.371196	N/S
null	1.24969	1.01586e-08	1.61554e-08	0.628804	N/S
null	0.750306	1.70441e-08	3.93171e-08	0.433503	N/S
null	1.24969	2.2273e-08	3.93171e-08	0.566497	N/S
