FamilyID	Brapa_v1.3.priTranscripts<1>	Boleracea_capitata_v1.0.priTranscripts<2>	Athaliana_Araport11.priTranscripts<3>	Ahalleri_v2.1.0.priTranscripts<4>	Alyrata_v2.1.priTranscripts<5>	<6>	<7>	<8>	<9>
null	3	6	0	-1	3	0	0	0	0
null	3	6	4	-1	3	0	0	0	0
null	0	4	5	-1	2	0	0	0	0
null	5	3	4	-1	3	0	0	0	0
null	-1	2	1	-1	18	0	0	0	0
null	9	-1	-1	-1	1	0	0	0	0
null	3	5	7	-1	4	0	0	0	0
null	0	14	2	-1	3	0	0	0	0
null	0	3	10	-1	3	0	0	0	0
null	5	8	3	-1	0	0	0	0	0
null	2	6	6	-1	2	0	0	0	0
null	-1	7	5	-1	5	0	0	0	0
null	2	4	7	-1	4	0	0	0	0
null	-1	12	10	-1	-1	0	0	0	0
null	6	-1	0	-1	-1	0	0	0	0
null	22	-1	0	-1	-1	0	0	0	0
null	4	3	3	-1	3	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	-1	4	9	-1	3	0	0	0	0
null	-1	0	1	-1	19	0	0	0	0
null	1	6	5	-1	5	0	0	0	0
null	7	2	3	-1	2	0	0	0	0
null	2	4	3	-1	3	0	0	0	0
null	7	2	2	-1	0	0	0	0	0
null	0	8	8	-1	1	0	0	0	0
null	5	3	2	-1	8	0	0	0	0
null	1	4	3	-1	1	0	0	0	0
null	4	2	3	-1	3	0	0	0	0
null	4	3	3	-1	3	0	0	0	0
null	0	0	10	-1	1	0	0	0	0
null	2	3	2	-1	1	0	0	0	0
null	2	6	4	-1	3	0	0	0	0
null	3	5	4	-1	3	0	0	0	0
null	5	3	2	-1	4	0	0	0	0
null	-1	19	1	-1	0	0	0	0	0
null	2	3	7	-1	4	0	0	0	0
null	4	4	2	-1	0	0	0	0	0
null	-1	0	-1	-1	20	0	0	0	0
null	3	4	3	-1	4	0	0	0	0
null	-1	0	0	-1	19	0	0	0	0
null	1	0	0	-1	1	0	0	0	0
null	6	2	2	-1	2	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	2	1	6	-1	4	0	0	0	0
null	3	3	4	-1	5	0	0	0	0
null	6	2	2	-1	2	0	0	0	0
null	3	2	6	-1	2	0	0	0	0
null	4	2	2	-1	3	0	0	0	0
null	2	5	3	-1	3	0	0	0	0
null	0	4	7	-1	1	0	0	0	0
null	1	8	5	-1	1	0	0	0	0
null	3	3	5	-1	3	0	0	0	0
null	3	5	4	-1	3	0	0	0	0
null	0	7	6	-1	3	0	0	0	0
null	0	6	5	-1	5	0	0	0	0
null	2	2	4	-1	3	0	0	0	0
null	0	2	4	-1	3	0	0	0	0
null	17	0	0	-1	1	0	0	0	0
null	3	4	3	-1	3	0	0	0	0
null	20	-1	-1	-1	0	0	0	0	0
null	5	1	3	-1	5	0	0	0	0
null	15	0	0	-1	-1	0	0	0	0
null	-1	10	4	-1	-1	0	0	0	0
null	4	2	2	-1	3	0	0	0	0
null	-1	1	1	-1	15	0	0	0	0
null	1	4	4	-1	4	0	0	0	0
null	3	3	3	-1	3	0	0	0	0
null	0	3	9	-1	2	0	0	0	0
null	4	3	2	-1	3	0	0	0	0
null	3	3	3	-1	4	0	0	0	0
null	3	6	2	-1	2	0	0	0	0
null	5	2	2	-1	2	0	0	0	0
null	2	7	2	-1	4	0	0	0	0
null	4	3	2	-1	3	0	0	0	0
null	3	5	2	-1	3	0	0	0	0
null	3	4	3	-1	2	0	0	0	0
null	0	3	3	-1	1	0	0	0	0
null	-1	3	12	-1	3	0	0	0	0
null	5	2	2	-1	2	0	0	0	0
null	3	2	6	-1	2	0	0	0	0
null	2	3	3	-1	5	0	0	0	0
null	0	7	1	-1	2	0	0	0	0
null	1	4	6	-1	4	0	0	0	0
null	-1	7	3	-1	4	0	0	0	0
null	9	1	0	-1	0	0	0	0	0
null	-1	6	11	-1	-1	0	0	0	0
null	19	-1	0	-1	-1	0	0	0	0
null	2	-1	0	-1	-1	0	0	0	0
null	-1	0	13	-1	4	0	0	0	0
null	4	2	2	-1	3	0	0	0	0
null	-1	4	1	-1	6	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	5	1	3	-1	1	0	0	0	0
null	3	3	3	-1	2	0	0	0	0
null	5	2	2	-1	2	0	0	0	0
null	3	0	3	-1	2	0	0	0	0
null	4	2	3	-1	3	0	0	0	0
null	-1	0	-1	-1	18	0	0	0	0
null	4	2	3	-1	4	0	0	0	0
null	1	3	4	-1	3	0	0	0	0
null	1	3	4	-1	4	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	4	2	2	-1	3	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	2	2	3	-1	0	0	0	0	0
null	5	2	2	-1	2	0	0	0	0
null	10	-1	3	-1	2	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	1	3	4	-1	3	0	0	0	0
null	1	3	2	-1	4	0	0	0	0
null	-1	2	7	-1	2	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	3	3	2	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	4	3	3	-1	3	0	0	0	0
null	1	4	6	-1	3	0	0	0	0
null	2	4	4	-1	2	0	0	0	0
null	-1	9	7	-1	1	0	0	0	0
null	2	3	3	-1	0	0	0	0	0
null	3	3	2	-1	3	0	0	0	0
null	3	1	7	-1	0	0	0	0	0
null	9	1	2	-1	0	0	0	0	0
null	0	-1	0	-1	-1	0	0	0	0
null	1	4	3	-1	2	0	0	0	0
null	4	0	4	-1	5	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	2	2	2	-1	1	0	0	0	0
null	1	4	5	-1	3	0	0	0	0
null	4	3	1	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	2	3	-1	0	0	0	0	0
null	5	2	2	-1	2	0	0	0	0
null	1	2	4	-1	3	0	0	0	0
null	6	2	2	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	13	0	-1	-1	3	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	-1	5	9	-1	2	0	0	0	0
null	1	8	2	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	2	5	6	-1	1	0	0	0	0
null	2	2	3	-1	3	0	0	0	0
null	2	3	3	-1	2	0	0	0	0
null	5	0	0	-1	4	0	0	0	0
null	-1	5	4	-1	4	0	0	0	0
null	2	2	3	-1	2	0	0	0	0
null	0	3	6	-1	3	0	0	0	0
null	6	1	1	-1	1	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	4	3	2	-1	2	0	0	0	0
null	0	-1	4	-1	11	0	0	0	0
null	1	3	4	-1	1	0	0	0	0
null	15	0	-1	-1	0	0	0	0	0
null	12	-1	1	-1	0	0	0	0	0
null	2	3	3	-1	2	0	0	0	0
null	0	-1	-1	-1	0	0	0	0	0
null	1	1	4	-1	3	0	0	0	0
null	0	2	6	-1	2	0	0	0	0
null	-1	5	10	-1	1	0	0	0	0
null	1	3	5	-1	2	0	0	0	0
null	5	4	3	-1	1	0	0	0	0
null	-1	0	4	-1	8	0	0	0	0
null	-1	2	8	-1	3	0	0	0	0
null	-1	1	4	-1	4	0	0	0	0
null	1	2	3	-1	1	0	0	0	0
null	-1	0	0	-1	15	0	0	0	0
null	2	1	4	-1	3	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	1	1	2	-1	1	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	8	1	0	-1	0	0	0	0	0
null	4	0	1	-1	1	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	3	2	-1	3	0	0	0	0
null	-1	2	0	-1	5	0	0	0	0
null	4	2	1	-1	1	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	0	1	2	-1	2	0	0	0	0
null	3	3	2	-1	2	0	0	0	0
null	3	1	2	-1	2	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	4	2	2	-1	2	0	0	0	0
null	4	1	2	-1	2	0	0	0	0
null	3	3	2	-1	1	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	1	4	-1	1	0	0	0	0
null	6	1	1	-1	1	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	-1	3	4	-1	3	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	3	1	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	2	3	-1	3	0	0	0	0
null	2	4	1	-1	1	0	0	0	0
null	3	1	4	-1	6	0	0	0	0
null	-1	2	1	-1	12	0	0	0	0
null	-1	4	4	-1	4	0	0	0	0
null	1	1	2	-1	1	0	0	0	0
null	-1	0	-1	-1	16	0	0	0	0
null	1	1	6	-1	3	0	0	0	0
null	5	2	3	-1	0	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	2	2	3	-1	2	0	0	0	0
null	2	1	3	-1	2	0	0	0	0
null	-1	4	4	-1	3	0	0	0	0
null	2	2	3	-1	2	0	0	0	0
null	1	2	3	-1	4	0	0	0	0
null	1	3	3	-1	2	0	0	0	0
null	1	4	2	-1	2	0	0	0	0
null	2	0	6	-1	3	0	0	0	0
null	-1	2	5	-1	3	0	0	0	0
null	3	3	2	-1	0	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	1	3	1	-1	1	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	0	4	2	-1	2	0	0	0	0
null	2	3	3	-1	2	0	0	0	0
null	4	1	7	-1	0	0	0	0	0
null	0	2	9	-1	0	0	0	0	0
null	1	3	1	-1	0	0	0	0	0
null	-1	3	2	-1	1	0	0	0	0
null	0	5	3	-1	3	0	0	0	0
null	4	4	4	-1	0	0	0	0	0
null	1	4	3	-1	0	0	0	0	0
null	1	3	3	-1	3	0	0	0	0
null	-1	0	-1	-1	15	0	0	0	0
null	4	2	3	-1	3	0	0	0	0
null	1	4	4	-1	2	0	0	0	0
null	-1	4	2	-1	7	0	0	0	0
null	3	3	1	-1	2	0	0	0	0
null	3	1	3	-1	2	0	0	0	0
null	0	1	5	-1	6	0	0	0	0
null	4	2	2	-1	3	0	0	0	0
null	1	5	4	-1	2	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	5	1	0	-1	3	0	0	0	0
null	0	0	5	-1	5	0	0	0	0
null	5	2	1	-1	2	0	0	0	0
null	-1	7	4	-1	3	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	4	2	1	-1	2	0	0	0	0
null	4	1	1	-1	2	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	3	0	1	-1	2	0	0	0	0
null	2	3	3	-1	1	0	0	0	0
null	1	3	5	-1	1	0	0	0	0
null	5	1	2	-1	1	0	0	0	0
null	4	2	2	-1	1	0	0	0	0
null	0	3	3	-1	2	0	0	0	0
null	2	3	1	-1	2	0	0	0	0
null	2	3	3	-1	1	0	0	0	0
null	2	2	3	-1	2	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	3	4	4	-1	2	0	0	0	0
null	2	3	3	-1	0	0	0	0	0
null	3	1	2	-1	2	0	0	0	0
null	1	3	2	-1	3	0	0	0	0
null	4	1	2	-1	2	0	0	0	0
null	2	1	2	-1	1	0	0	0	0
null	0	3	3	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	0	5	5	-1	1	0	0	0	0
null	1	1	5	-1	0	0	0	0	0
null	1	4	4	-1	3	0	0	0	0
null	3	1	1	-1	1	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	6	0	3	-1	2	0	0	0	0
null	6	2	-1	-1	0	0	0	0	0
null	-1	7	7	-1	0	0	0	0	0
null	9	-1	-1	-1	1	0	0	0	0
null	1	2	2	-1	2	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	1	2	2	-1	2	0	0	0	0
null	6	-1	1	-1	0	0	0	0	0
null	2	3	2	-1	3	0	0	0	0
null	-1	3	8	-1	0	0	0	0	0
null	-1	3	2	-1	0	0	0	0	0
null	-1	10	0	-1	0	0	0	0	0
null	2	5	2	-1	0	0	0	0	0
null	4	1	4	-1	0	0	0	0	0
null	3	2	1	-1	3	0	0	0	0
null	2	2	3	-1	2	0	0	0	0
null	0	2	7	-1	-1	0	0	0	0
null	2	-1	0	-1	-1	0	0	0	0
null	-1	0	3	-1	8	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	0	0	7	-1	2	0	0	0	0
null	3	2	1	-1	2	0	0	0	0
null	2	2	2	-1	1	0	0	0	0
null	0	2	5	-1	3	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	3	2	2	-1	2	0	0	0	0
null	4	3	1	-1	2	0	0	0	0
null	3	2	2	-1	3	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	2	3	1	-1	2	0	0	0	0
null	1	2	4	-1	2	0	0	0	0
null	2	2	2	-1	1	0	0	0	0
null	-1	0	0	-1	0	0	0	0	0
null	4	1	2	-1	2	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	0	2	2	-1	2	0	0	0	0
null	2	1	2	-1	3	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	1	1	8	-1	2	0	0	0	0
null	0	5	4	-1	0	0	0	0	0
null	-1	2	1	-1	2	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	1	0	7	-1	4	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	13	-1	-1	-1	1	0	0	0	0
null	3	1	1	-1	2	0	0	0	0
null	5	1	0	-1	1	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	2	1	3	-1	1	0	0	0	0
null	2	2	3	-1	2	0	0	0	0
null	1	2	3	-1	2	0	0	0	0
null	3	1	1	-1	1	0	0	0	0
null	0	4	4	-1	1	0	0	0	0
null	6	0	0	-1	0	0	0	0	0
null	1	2	2	-1	3	0	0	0	0
null	3	2	2	-1	1	0	0	0	0
null	-1	0	4	-1	4	0	0	0	0
null	1	3	3	-1	3	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	5	1	1	-1	0	0	0	0	0
null	1	2	2	-1	2	0	0	0	0
null	4	1	2	-1	0	0	0	0	0
null	1	5	3	-1	0	0	0	0	0
null	0	2	6	-1	1	0	0	0	0
null	-1	2	-1	-1	1	0	0	0	0
null	-1	2	4	-1	5	0	0	0	0
null	2	1	3	-1	2	0	0	0	0
null	2	3	2	-1	2	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	1	2	2	-1	2	0	0	0	0
null	3	1	1	-1	1	0	0	0	0
null	2	2	2	-1	1	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	3	1	2	-1	2	0	0	0	0
null	2	2	2	-1	2	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	2	1	1	-1	1	0	0	0	0
null	0	3	6	-1	1	0	0	0	0
null	2	1	2	-1	2	0	0	0	0
null	2	1	2	-1	1	0	0	0	0
null	-1	0	7	-1	6	0	0	0	0
null	1	2	2	-1	2	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	0	-1	-1	-1	0	0	0	0	0
null	0	2	2	-1	2	0	0	0	0
null	-1	10	0	-1	2	0	0	0	0
null	2	3	4	-1	1	0	0	0	0
null	1	2	2	-1	2	0	0	0	0
null	3	2	2	-1	1	0	0	0	0
null	0	5	3	-1	1	0	0	0	0
null	4	1	1	-1	1	0	0	0	0
null	1	3	3	-1	2	0	0	0	0
null	3	3	1	-1	3	0	0	0	0
null	5	1	1	-1	1	0	0	0	0
null	1	3	2	-1	3	0	0	0	0
null	1	3	6	-1	1	0	0	0	0
null	3	2	1	-1	2	0	0	0	0
null	0	3	3	-1	3	0	0	0	0
null	1	3	3	-1	2	0	0	0	0
null	3	1	1	-1	1	0	0	0	0
null	3	1	1	-1	2	0	0	0	0
null	2	3	7	-1	0	0	0	0	0
null	3	2	3	-1	1	0	0	0	0
null	2	4	4	-1	1	0	0	0	0
null	2	1	5	-1	2	0	0	0	0
null	0	5	1	-1	1	0	0	0	0
null	1	2	4	-1	1	0	0	0	0
null	7	2	-1	-1	0	0	0	0	0
null	3	0	7	-1	0	0	0	0	0
