#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.666053	4.57025e-173	1.52941e-129	2.98825e-44	N/S
null	0.972501	7.47545e-150	1.52941e-129	4.88781e-21	N/S
null	1.36145	1.52941e-129	1.52941e-129	1	*
null	0.666053	3.4272e-48	5.91442e-37	5.79465e-12	N/S
null	0.972501	3.8861e-42	5.91442e-37	6.57055e-06	N/S
null	1.36145	5.91438e-37	5.91442e-37	0.999993	*
null	0.666053	9.26625e-34	6.99971e-26	1.32381e-08	N/S
null	0.972501	2.17727e-29	6.99971e-26	0.000311051	N/S
null	1.36145	6.99753e-26	6.99971e-26	0.999689	*
null	0.666053	7.20154e-21	3.76783e-17	0.000191132	N/S
null	0.972501	8.80916e-19	3.76783e-17	0.02338	N/S
null	1.36145	3.67901e-17	3.76783e-17	0.976429	*
null	0.666053	4.61806e-64	8.63959e-45	5.34523e-20	N/S
null	0.972501	2.02756e-53	8.63959e-45	2.34683e-09	N/S
null	1.36145	8.63959e-45	8.63959e-45	1	*
null	0.666053	6.13666e-36	2.0637e-27	2.97362e-09	N/S
null	0.972501	3.15869e-31	2.0637e-27	0.00015306	N/S
null	1.36145	2.06338e-27	2.0637e-27	0.999847	*
null	0.666053	5.26875e-33	1.56335e-24	3.37016e-09	N/S
null	0.972501	2.86474e-28	1.56335e-24	0.000183243	N/S
null	1.36145	1.56307e-24	1.56335e-24	0.999817	*
null	0.666053	4.95988e-20	5.73991e-17	0.000864105	N/S
null	0.972501	2.32065e-18	5.73991e-17	0.0404301	N/S
null	1.36145	5.50289e-17	5.73991e-17	0.958706	*
null	0.666053	3.67204e-30	2.40218e-23	1.52863e-07	N/S
null	0.972501	2.22305e-26	2.40218e-23	0.000925433	N/S
null	1.36145	2.39995e-23	2.40218e-23	0.999074	*
null	0.666053	1.88374e-33	4.48917e-24	4.19619e-10	N/S
null	0.972501	3.11958e-28	4.48917e-24	6.94913e-05	N/S
null	1.36145	4.48886e-24	4.48917e-24	0.999931	*
null	0.666053	1.41105e-17	4.16856e-15	0.00338499	N/S
null	0.972501	3.11654e-16	4.16856e-15	0.074763	N/S
null	1.36145	3.84279e-15	4.16856e-15	0.921852	N/S
null	0.666053	8.46096e-46	4.66053e-32	1.81545e-14	N/S
null	0.972501	3.43209e-38	4.66053e-32	7.36415e-07	N/S
null	1.36145	4.66053e-32	4.66053e-32	0.999999	*
null	0.666053	4.84841e-16	6.52064e-14	0.00743548	N/S
null	0.972501	6.93592e-15	6.52064e-14	0.106369	N/S
null	1.36145	5.77857e-14	6.52064e-14	0.886196	N/S
null	0.666053	8.77884e-28	8.27384e-21	1.06104e-07	N/S
null	0.972501	7.16771e-24	8.27384e-21	0.00086631	N/S
null	1.36145	8.26667e-21	8.27384e-21	0.999134	*
null	0.666053	3.01639e-57	1.1494e-43	2.62431e-14	N/S
null	0.972501	5.68023e-50	1.1494e-43	4.9419e-07	N/S
null	1.36145	1.1494e-43	1.1494e-43	1	*
null	0.666053	3.38724e-16	8.53383e-14	0.00396919	N/S
null	0.972501	7.37668e-15	8.53383e-14	0.0864405	N/S
null	1.36145	7.76229e-14	8.53383e-14	0.90959	N/S
null	0.666053	8.94742e-34	4.78174e-26	1.87116e-08	N/S
null	0.972501	1.63356e-29	4.78174e-26	0.000341624	N/S
null	1.36145	4.78011e-26	4.78174e-26	0.999658	*
null	0.666053	4.86177e-19	6.14617e-16	0.000791024	N/S
null	0.972501	2.57545e-17	6.14617e-16	0.0419033	N/S
null	1.36145	5.88376e-16	6.14617e-16	0.957306	*
null	0.666053	8.90354e-16	2.07333e-13	0.00429432	N/S
null	0.972501	1.86016e-14	2.07333e-13	0.0897185	N/S
null	1.36145	1.87841e-13	2.07333e-13	0.905987	N/S
null	0.666053	1.46352e-25	3.98094e-20	3.67631e-06	N/S
null	0.972501	1.51343e-22	3.98094e-20	0.00380169	N/S
null	1.36145	3.96579e-20	3.98094e-20	0.996195	*
null	0.666053	2.30092e-16	4.67394e-14	0.00492287	N/S
null	0.972501	4.26419e-15	4.67394e-14	0.0912333	N/S
null	1.36145	4.22451e-14	4.67394e-14	0.903844	N/S
null	0.666053	7.47198e-16	1.90845e-13	0.00391522	N/S
null	0.972501	1.65849e-14	1.90845e-13	0.0869026	N/S
null	1.36145	1.73512e-13	1.90845e-13	0.909182	N/S
null	0.666053	1.81587e-24	5.96352e-19	3.04497e-06	N/S
null	0.972501	2.25264e-21	5.96352e-19	0.00377737	N/S
null	1.36145	5.94098e-19	5.96352e-19	0.99622	*
null	0.666053	3.02176e-20	4.34628e-16	6.95252e-05	N/S
null	0.972501	6.79962e-18	4.34628e-16	0.0156447	N/S
null	1.36145	4.27798e-16	4.34628e-16	0.984286	*
null	0.666053	1.31337e-33	5.72311e-24	2.29485e-10	N/S
null	0.972501	3.1859e-28	5.72311e-24	5.56673e-05	N/S
null	1.36145	5.72279e-24	5.72311e-24	0.999944	*
null	0.666053	1.51522e-23	1.87513e-18	8.08062e-06	N/S
null	0.972501	1.07597e-20	1.87513e-18	0.00573809	N/S
null	1.36145	1.86436e-18	1.87513e-18	0.994254	*
null	0.666053	2.72575e-51	1.51423e-39	1.8001e-12	N/S
null	0.972501	5.2475e-45	1.51423e-39	3.46547e-06	N/S
null	1.36145	1.51422e-39	1.51423e-39	0.999997	*
null	0.666053	8.21614e-46	2.73975e-35	2.99886e-11	N/S
null	0.972501	3.92124e-40	2.73975e-35	1.43124e-05	N/S
null	1.36145	2.73971e-35	2.73975e-35	0.999986	*
null	0.666053	2.04658e-12	4.37577e-11	0.0467707	N/S
null	0.972501	9.75462e-12	4.37577e-11	0.222924	N/S
null	1.36145	3.19565e-11	4.37577e-11	0.730306	N/S
null	0.666053	2.9748e-14	3.59855e-12	0.00826666	N/S
null	0.972501	4.36854e-13	3.59855e-12	0.121397	N/S
null	1.36145	3.13195e-12	3.59855e-12	0.870336	N/S
null	0.666053	1.20991e-11	3.11884e-10	0.0387936	N/S
null	0.972501	6.39061e-11	3.11884e-10	0.204904	N/S
null	1.36145	2.35878e-10	3.11884e-10	0.756303	N/S
null	0.666053	1.40547e-15	2.27466e-13	0.00617882	N/S
null	0.972501	2.30403e-14	2.27466e-13	0.101291	N/S
null	1.36145	2.0302e-13	2.27466e-13	0.89253	N/S
null	0.666053	5.20565e-14	1.95225e-12	0.0266648	N/S
null	0.972501	3.39955e-13	1.95225e-12	0.174134	N/S
null	1.36145	1.56024e-12	1.95225e-12	0.799201	N/S
null	0.666053	2.23003e-14	2.16549e-12	0.010298	N/S
null	0.972501	2.80416e-13	2.16549e-12	0.129493	N/S
null	1.36145	1.86278e-12	2.16549e-12	0.860209	N/S
null	0.666053	1.00012e-13	3.75892e-12	0.0266065	N/S
null	0.972501	6.646e-13	3.75892e-12	0.176806	N/S
null	1.36145	2.99431e-12	3.75892e-12	0.796587	N/S
null	0.666053	7.66912e-20	4.79127e-16	0.000160065	N/S
null	0.972501	1.00485e-17	4.79127e-16	0.0209725	N/S
null	1.36145	4.69002e-16	4.79127e-16	0.978867	*
null	0.666053	6.35652e-26	1.79202e-20	3.54713e-06	N/S
null	0.972501	6.4923e-23	1.79202e-20	0.0036229	N/S
null	1.36145	1.78552e-20	1.79202e-20	0.996374	*
null	0.666053	2.87129e-20	1.79173e-16	0.000160252	N/S
null	0.972501	3.5131e-18	1.79173e-16	0.0196073	N/S
null	1.36145	1.75631e-16	1.79173e-16	0.980232	*
null	0.666053	5.39366e-07	2.59877e-06	0.207547	N/S
null	0.972501	9.04161e-07	2.59877e-06	0.347919	N/S
null	1.36145	1.15524e-06	2.59877e-06	0.444534	N/S
null	0.666053	2.85579e-22	9.13842e-18	3.12503e-05	N/S
null	0.972501	9.0877e-20	9.13842e-18	0.0099445	N/S
null	1.36145	9.04726e-18	9.13842e-18	0.990024	*
null	0.666053	2.85762e-19	1.80636e-15	0.000158198	N/S
null	0.972501	3.9862e-17	1.80636e-15	0.0220675	N/S
null	1.36145	1.76622e-15	1.80636e-15	0.977774	*
null	0.666053	4.67793e-47	2.96922e-36	1.57548e-11	N/S
null	0.972501	2.87481e-41	2.96922e-36	9.68205e-06	N/S
null	1.36145	2.96919e-36	2.96922e-36	0.99999	*
null	0.666053	2.98766e-15	9.39331e-13	0.00318063	N/S
null	0.972501	6.785e-14	9.39331e-13	0.0722323	N/S
null	1.36145	8.68494e-13	9.39331e-13	0.924587	N/S
null	0.666053	4.36058e-13	2.38663e-11	0.0182709	N/S
null	0.972501	3.94126e-12	2.38663e-11	0.165139	N/S
null	1.36145	1.94889e-11	2.38663e-11	0.81659	N/S
null	0.666053	2.64786e-22	2.79533e-17	9.47245e-06	N/S
null	0.972501	1.66664e-19	2.79533e-17	0.00596223	N/S
null	1.36145	2.77864e-17	2.79533e-17	0.994028	*
null	0.666053	4.48617e-14	3.94399e-12	0.0113747	N/S
null	0.972501	5.32813e-13	3.94399e-12	0.135095	N/S
null	1.36145	3.36632e-12	3.94399e-12	0.85353	N/S
null	0.666053	1.81633e-34	6.12932e-26	2.96335e-09	N/S
null	0.972501	9.21036e-30	6.12932e-26	0.000150267	N/S
null	1.36145	6.1284e-26	6.12932e-26	0.99985	*
null	0.666053	2.61503e-14	8.69411e-12	0.00300782	N/S
null	0.972501	7.15184e-13	8.69411e-12	0.0822607	N/S
null	1.36145	7.95278e-12	8.69411e-12	0.914731	N/S
null	0.666053	4.01892e-17	3.2858e-14	0.00122312	N/S
null	0.972501	1.74637e-15	3.2858e-14	0.0531492	N/S
null	1.36145	3.10714e-14	3.2858e-14	0.945628	N/S
null	0.666053	2.38239e-15	3.99241e-13	0.00596731	N/S
null	0.972501	4.06953e-14	3.99241e-13	0.101932	N/S
null	1.36145	3.56163e-13	3.99241e-13	0.892101	N/S
null	0.666053	2.11364e-16	1.93344e-13	0.0010932	N/S
null	0.972501	9.52381e-15	1.93344e-13	0.0492582	N/S
null	1.36145	1.83609e-13	1.93344e-13	0.949649	N/S
null	0.666053	1.51014e-14	9.77171e-13	0.0154543	N/S
null	0.972501	1.41664e-13	9.77171e-13	0.144974	N/S
null	1.36145	8.20405e-13	9.77171e-13	0.839572	N/S
null	0.666053	7.88079e-13	3.03396e-11	0.0259753	N/S
null	0.972501	5.63068e-12	3.03396e-11	0.185589	N/S
null	1.36145	2.39208e-11	3.03396e-11	0.788436	N/S
null	0.666053	2.364e-32	4.50366e-24	5.24907e-09	N/S
null	0.972501	8.63782e-28	4.50366e-24	0.000191796	N/S
null	1.36145	4.50279e-24	4.50366e-24	0.999808	*
null	0.666053	9.96071e-26	2.37024e-20	4.2024e-06	N/S
null	0.972501	9.19391e-23	2.37024e-20	0.00387889	N/S
null	1.36145	2.36104e-20	2.37024e-20	0.996117	*
null	0.666053	2.59195e-15	2.13678e-12	0.00121301	N/S
null	0.972501	1.15888e-13	2.13678e-12	0.0542347	N/S
null	1.36145	2.0183e-12	2.13678e-12	0.944552	N/S
null	0.666053	3.13028e-42	1.28798e-32	2.43038e-10	N/S
null	0.972501	4.74844e-37	1.28798e-32	3.68673e-05	N/S
null	1.36145	1.28793e-32	1.28798e-32	0.999963	*
null	0.666053	2.45071e-19	1.72994e-15	0.000141664	N/S
null	0.972501	3.49328e-17	1.72994e-15	0.0201931	N/S
null	1.36145	1.69477e-15	1.72994e-15	0.979665	*
null	0.666053	3.11168e-08	1.65559e-07	0.18795	N/S
null	0.972501	5.611e-08	1.65559e-07	0.338912	N/S
null	1.36145	7.83324e-08	1.65559e-07	0.473138	N/S
null	0.666053	1.1424e-14	3.99357e-12	0.0028606	N/S
null	0.972501	3.05187e-13	3.99357e-12	0.0764196	N/S
