FamilyID	Brapa_v1.3.priTranscripts<1>	Boleracea_capitata_v1.0.priTranscripts<2>	Athaliana_Araport11.priTranscripts<3>	Ahalleri_v2.1.0.priTranscripts<4>	Alyrata_v2.1.priTranscripts<5>	<6>	<7>	<8>	<9>
null	1	0	0	0	139	1	1	1	1
null	3	0	1	0	35	1	1	1	1
null	3	19	16	0	18	1	1	1	1
null	18	10	11	0	11	1	1	1	1
null	66	0	0	0	3	1	1	1	1
null	1	15	20	0	18	1	1	1	1
null	2	13	28	0	7	1	1	1	1
null	11	12	13	0	12	1	1	1	1
null	2	16	14	0	15	1	1	1	1
null	35	1	2	0	1	1	1	1	1
null	11	9	10	0	10	1	1	1	1
null	50	1	1	0	0	1	1	1	1
null	12	10	9	0	8	1	1	1	1
null	2	22	13	0	4	1	1	1	1
null	1	1	2	0	45	1	1	1	1
null	13	8	9	0	7	1	1	1	1
null	0	14	16	0	16	1	1	1	1
null	5	5	12	0	11	1	1	1	1
null	10	5	5	0	8	1	1	1	1
null	2	14	8	0	13	1	1	1	1
null	7	10	10	0	8	1	1	1	1
null	12	6	7	0	7	1	1	1	1
null	2	14	15	0	7	1	1	1	1
null	4	10	16	0	5	1	1	1	1
null	2	36	1	0	2	1	1	1	1
null	3	17	6	0	10	1	1	1	1
null	1	2	0	0	38	1	1	1	1
null	3	1	1	0	34	1	1	1	1
null	8	6	6	0	5	1	1	1	1
null	12	6	6	0	5	1	1	1	1
null	2	2	0	0	5	1	1	1	1
null	6	7	3	0	9	1	1	1	1
null	8	8	7	0	7	1	1	1	1
null	11	6	6	0	6	1	1	1	1
null	8	7	8	0	6	1	1	1	1
null	2	11	9	0	8	1	1	1	1
null	1	9	12	0	14	1	1	1	1
null	0	8	5	0	9	1	1	1	1
null	3	1	1	0	0	1	1	1	1
null	1	11	10	0	9	1	1	1	1
null	3	12	11	0	6	1	1	1	1
null	0	3	0	0	33	1	1	1	1
null	0	2	0	0	7	1	1	1	1
null	9	5	7	0	4	1	1	1	1
null	0	11	12	0	2	1	1	1	1
null	10	5	5	0	6	1	1	1	1
null	0	20	2	0	13	1	1	1	1
null	11	4	7	0	2	1	1	1	1
null	3	7	11	0	7	1	1	1	1
null	5	10	7	0	7	1	1	1	1
null	3	3	14	0	2	1	1	1	1
null	8	6	5	0	8	1	1	1	1
null	9	5	5	0	5	1	1	1	1
null	0	4	29	0	1	1	1	1	1
null	0	12	9	0	11	1	1	1	1
null	2	11	6	0	2	1	1	1	1
null	1	0	1	0	31	1	1	1	1
null	1	6	13	0	6	1	1	1	1
null	1	1	2	0	3	1	1	1	1
null	4	2	11	0	2	1	1	1	1
null	6	1	10	0	5	1	1	1	1
null	0	2	1	0	29	1	1	1	1
null	6	5	5	0	5	1	1	1	1
null	4	4	8	0	9	1	1	1	1
null	0	1	2	0	1	1	1	1	1
null	0	1	1	0	29	1	1	1	1
null	4	9	7	0	5	1	1	1	1
null	2	10	8	0	8	1	1	1	1
null	5	6	6	0	5	1	1	1	1
null	10	1	0	0	1	1	1	1	1
