#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
null	0.75029	4.09204e-166	5.03163e-135	8.13265e-32	N/S
null	1.24971	5.03163e-135	5.03163e-135	1	*
null	0.75029	3.08344e-46	3.25406e-38	9.47568e-09	N/S
null	1.24971	3.25406e-38	3.25406e-38	1	*
null	0.75029	2.85622e-32	1.18042e-26	2.41966e-06	N/S
null	1.24971	1.18042e-26	1.18042e-26	0.999998	*
null	0.75029	4.66163e-20	2.03531e-17	0.00229038	N/S
null	1.24971	2.03065e-17	2.03531e-17	0.99771	*
null	0.75029	1.04591e-60	5.91697e-47	1.76765e-14	N/S
null	1.24971	5.91697e-47	5.91697e-47	1	*
null	0.75029	2.37345e-34	2.86509e-28	8.28405e-07	N/S
null	1.24971	2.86509e-28	2.86509e-28	0.999999	*
null	0.75029	2.11915e-31	2.3251e-25	9.11424e-07	N/S
null	1.24971	2.3251e-25	2.3251e-25	0.999999	*
null	0.75029	2.3377e-19	3.49911e-17	0.00668085	N/S
null	1.24971	3.47573e-17	3.49911e-17	0.993319	*
null	0.75029	7.53736e-29	5.43928e-24	1.38573e-05	N/S
null	1.24971	5.4392e-24	5.43928e-24	0.999986	*
null	0.75029	1.03178e-31	5.13888e-25	2.00779e-07	N/S
null	1.24971	5.13888e-25	5.13888e-25	1	*
null	0.75029	5.34831e-17	2.96407e-15	0.0180438	N/S
null	1.24971	2.91058e-15	2.96407e-15	0.981956	*
null	0.75029	2.39712e-43	1.53041e-33	1.56632e-10	N/S
null	1.24971	1.53041e-33	1.53041e-33	1	*
null	0.75029	1.62252e-15	5.04913e-14	0.0321345	N/S
null	1.24971	4.88688e-14	5.04913e-14	0.967865	*
null	0.75029	2.00732e-26	1.87813e-21	1.06879e-05	N/S
null	1.24971	1.87811e-21	1.87813e-21	0.999989	*
null	0.75029	5.97112e-55	3.09441e-45	1.92965e-10	N/S
null	1.24971	3.09441e-45	3.09441e-45	1	*
null	0.75029	1.30443e-15	6.35112e-14	0.0205386	N/S
null	1.24971	6.22067e-14	6.35112e-14	0.979461	*
null	0.75029	2.53488e-32	8.0834e-27	3.13591e-06	N/S
null	1.24971	8.08337e-27	8.0834e-27	0.999997	*
null	0.75029	2.42977e-18	3.82031e-16	0.00636015	N/S
null	1.24971	3.79601e-16	3.82031e-16	0.99364	*
null	0.75029	3.38664e-15	1.55824e-13	0.0217337	N/S
null	1.24971	1.52438e-13	1.55824e-13	0.978266	*
null	0.75029	1.76319e-24	1.31996e-20	0.000133578	N/S
null	1.24971	1.31979e-20	1.31996e-20	0.999866	*
null	0.75029	8.36402e-16	3.50268e-14	0.0238789	N/S
null	1.24971	3.41904e-14	3.50268e-14	0.976121	*
null	0.75029	2.89682e-15	1.42601e-13	0.0203142	N/S
null	1.24971	1.39704e-13	1.42601e-13	0.979686	*
null	0.75029	2.34688e-23	2.00236e-19	0.000117206	N/S
null	1.24971	2.00212e-19	2.00236e-19	0.999883	*
null	0.75029	2.36321e-19	2.13942e-16	0.0011046	N/S
null	1.24971	2.13706e-16	2.13942e-16	0.998895	*
null	0.75029	8.23003e-32	6.20593e-25	1.32616e-07	N/S
null	1.24971	6.20593e-25	6.20593e-25	1	*
null	0.75029	1.65295e-22	7.02308e-19	0.000235359	N/S
null	1.24971	7.02143e-19	7.02308e-19	0.999765	*
null	0.75029	2.84144e-49	6.7793e-41	4.19134e-09	N/S
null	1.24971	6.7793e-41	6.7793e-41	1	*
null	0.75029	5.75688e-44	1.87805e-36	3.06535e-08	N/S
null	1.24971	1.87805e-36	1.87805e-36	1	*
null	0.75029	4.95546e-12	3.99298e-11	0.124104	N/S
null	1.24971	3.49743e-11	3.99298e-11	0.875896	N/S
null	0.75029	1.02532e-13	2.90807e-12	0.0352578	N/S
null	1.24971	2.80554e-12	2.90807e-12	0.964742	*
null	0.75029	3.00827e-11	2.78971e-10	0.107834	N/S
null	1.24971	2.48889e-10	2.78971e-10	0.892166	N/S
null	0.75029	4.93771e-15	1.74836e-13	0.0282419	N/S
null	1.24971	1.69898e-13	1.74836e-13	0.971758	*
null	0.75029	1.36803e-13	1.6843e-12	0.0812228	N/S
null	1.24971	1.54749e-12	1.6843e-12	0.918777	N/S
null	0.75029	7.29204e-14	1.76806e-12	0.0412431	N/S
null	1.24971	1.69514e-12	1.76806e-12	0.958757	*
null	0.75029	2.65493e-13	3.25873e-12	0.0814712	N/S
null	1.24971	2.99324e-12	3.25873e-12	0.918529	N/S
null	0.75029	5.01248e-19	2.51131e-16	0.00199596	N/S
null	1.24971	2.5063e-16	2.51131e-16	0.998004	*
null	0.75029	7.63567e-25	5.85267e-21	0.000130465	N/S
null	1.24971	5.8519e-21	5.85267e-21	0.99987	*
null	0.75029	1.81074e-19	9.11128e-17	0.00198736	N/S
null	1.24971	9.09318e-17	9.11128e-17	0.998013	*
null	0.75029	9.61855e-07	2.61674e-06	0.367577	N/S
null	1.24971	1.65489e-06	2.61674e-06	0.632423	N/S
null	0.75029	2.42513e-21	3.91992e-18	0.000618668	N/S
null	1.24971	3.9175e-18	3.91992e-18	0.999381	*
null	0.75029	1.92808e-18	9.68903e-16	0.00198996	N/S
null	1.24971	9.66975e-16	9.68903e-16	0.99801	*
null	0.75029	3.50138e-45	1.79345e-37	1.95231e-08	N/S
null	1.24971	1.79345e-37	1.79345e-37	1	*
null	0.75029	1.13647e-14	6.63059e-13	0.0171398	N/S
null	1.24971	6.51694e-13	6.63059e-13	0.98286	*
null	0.75029	1.29631e-12	2.05651e-11	0.0630347	N/S
null	1.24971	1.92687e-11	2.05651e-11	0.936965	N/S
null	0.75029	2.7651e-21	1.05162e-17	0.000262937	N/S
null	1.24971	1.05135e-17	1.05162e-17	0.999737	*
null	0.75029	1.44221e-13	3.25188e-12	0.0443502	N/S
null	1.24971	3.10766e-12	3.25188e-12	0.95565	*
null	0.75029	6.95977e-33	8.43387e-27	8.25216e-07	N/S
null	1.24971	8.43387e-27	8.43387e-27	0.999999	*
null	0.75029	1.08912e-13	6.49151e-12	0.0167776	N/S
null	1.24971	6.3826e-12	6.49151e-12	0.983222	*
null	0.75029	1.90736e-16	2.18889e-14	0.00871382	N/S
null	1.24971	2.16982e-14	2.18889e-14	0.991286	*
null	0.75029	8.50029e-15	3.08606e-13	0.0275442	N/S
null	1.24971	3.00105e-13	3.08606e-13	0.972456	*
null	0.75029	1.00717e-15	1.2592e-13	0.0079985	N/S
null	1.24971	1.24913e-13	1.2592e-13	0.992002	*
null	0.75029	4.47028e-14	8.11801e-13	0.0550662	N/S
null	1.24971	7.67098e-13	8.11801e-13	0.944934	N/S
null	0.75029	2.17209e-12	2.67307e-11	0.0812584	N/S
null	1.24971	2.45586e-11	2.67307e-11	0.918742	N/S
null	0.75029	8.15208e-31	6.59818e-25	1.2355e-06	N/S
null	1.24971	6.59817e-25	6.59818e-25	0.999999	*
null	0.75029	1.15203e-24	7.83168e-21	0.000147099	N/S
null	1.24971	7.83053e-21	7.83168e-21	0.999853	*
null	0.75029	1.24364e-14	1.44017e-12	0.00863538	N/S
null	1.24971	1.42773e-12	1.44017e-12	0.991365	*
null	0.75029	1.55901e-40	1.1441e-33	1.36265e-07	N/S
null	1.24971	1.1441e-33	1.1441e-33	1	*
null	0.75029	1.65112e-18	8.99098e-16	0.00183642	N/S
null	1.24971	8.97447e-16	8.99098e-16	0.998164	*
null	0.75029	5.66691e-08	1.65635e-07	0.342132	N/S
null	1.24971	1.08966e-07	1.65635e-07	0.657868	N/S
null	0.75029	4.67106e-14	2.90675e-12	0.0160697	N/S
null	1.24971	2.86004e-12	2.90675e-12	0.98393	*
null	0.75029	4.15164e-16	6.02301e-14	0.00689296	N/S
null	1.24971	5.9815e-14	6.02301e-14	0.993107	*
null	0.75029	9.04645e-39	2.69766e-32	3.35344e-07	N/S
null	1.24971	2.69766e-32	2.69766e-32	1	*
null	0.75029	3.04499e-11	1.64269e-10	0.185366	N/S
null	1.24971	1.33819e-10	1.64269e-10	0.814634	N/S
null	0.75029	3.21088e-15	1.05056e-13	0.0305635	N/S
null	1.24971	1.01845e-13	1.05056e-13	0.969436	*
null	0.75029	6.37058e-07	1.63456e-06	0.389743	N/S
null	1.24971	9.97501e-07	1.63456e-06	0.610257	N/S
null	0.75029	2.99994e-38	7.95225e-32	3.77244e-07	N/S
null	1.24971	7.95225e-32	7.95225e-32	1	*
null	0.75029	1.4285e-13	3.70022e-12	0.0386058	N/S
null	1.24971	3.55737e-12	3.70022e-12	0.961394	*
null	0.75029	4.59559e-18	1.33629e-15	0.00343906	N/S
null	1.24971	1.3317e-15	1.33629e-15	0.996561	*
null	0.75029	1.30022e-11	8.29504e-11	0.156747	N/S
null	1.24971	6.99482e-11	8.29504e-11	0.843253	N/S
null	0.75029	6.07846e-13	4.43136e-11	0.0137169	N/S
null	1.24971	4.37058e-11	4.43136e-11	0.986283	*
null	0.75029	6.36239e-21	2.43249e-17	0.000261559	N/S
null	1.24971	2.43185e-17	2.43249e-17	0.999738	*
null	0.75029	3.02698e-26	1.26307e-21	2.39652e-05	N/S
null	1.24971	1.26304e-21	1.26307e-21	0.999976	*
null	0.75029	8.56483e-19	4.52015e-16	0.00189481	N/S
null	1.24971	4.51158e-16	4.52015e-16	0.998105	*
null	0.75029	1.80042e-23	2.27427e-19	7.9165e-05	N/S
null	1.24971	2.27409e-19	2.27427e-19	0.999921	*
null	0.75029	6.01932e-06	1.30048e-05	0.462853	N/S
null	1.24971	6.98549e-06	1.30048e-05	0.537147	N/S
null	0.75029	7.27447e-16	3.87469e-13	0.00187743	N/S
null	1.24971	3.86741e-13	3.87469e-13	0.998123	*
null	0.75029	6.49997e-13	8.30038e-12	0.0783093	N/S
null	1.24971	7.65038e-12	8.30038e-12	0.921691	N/S
null	0.75029	4.53333e-18	2.33076e-15	0.001945	N/S
null	1.24971	2.32622e-15	2.33076e-15	0.998055	*
null	0.75029	9.27164e-13	1.77473e-11	0.0522426	N/S
null	1.24971	1.68201e-11	1.77473e-11	0.947757	N/S
null	0.75029	1.27554e-14	9.49396e-13	0.0134353	N/S
null	1.24971	9.3664e-13	9.49396e-13	0.986565	*
null	0.75029	6.83925e-23	3.88225e-19	0.000176167	N/S
null	1.24971	3.88157e-19	3.88225e-19	0.999824	*
null	0.75029	3.72158e-38	7.11925e-32	5.22749e-07	N/S
null	1.24971	7.11925e-32	7.11925e-32	0.999999	*
null	0.75029	1.68926e-18	6.12363e-16	0.00275859	N/S
null	1.24971	6.10674e-16	6.12363e-16	0.997241	*
null	0.75029	8.01179e-12	5.01839e-11	0.159649	N/S
null	1.24971	4.21721e-11	5.01839e-11	0.840351	N/S
null	0.75029	1.81989e-12	3.58653e-11	0.0507425	N/S
null	1.24971	3.40454e-11	3.58653e-11	0.949258	N/S
null	0.75029	1.1198e-13	3.4693e-12	0.0322774	N/S
null	1.24971	3.35732e-12	3.4693e-12	0.967723	*
null	0.75029	2.2053e-26	1.98128e-21	1.11307e-05	N/S
null	1.24971	1.98126e-21	1.98128e-21	0.999989	*
null	0.75029	1.4611e-11	1.01123e-10	0.144488	N/S
null	1.24971	8.65115e-11	1.01123e-10	0.855512	N/S
null	0.75029	5.75556e-27	4.47527e-22	1.28608e-05	N/S
null	1.24971	4.47521e-22	4.47527e-22	0.999987	*
null	0.75029	7.32935e-12	9.25853e-11	0.0791632	N/S
null	1.24971	8.5256e-11	9.25853e-11	0.920837	N/S
null	0.75029	1.94185e-26	3.27589e-22	5.92771e-05	N/S
null	1.24971	3.2757e-22	3.27589e-22	0.999941	*
null	0.75029	1.9267e-11	3.82376e-10	0.0503878	N/S
null	1.24971	3.63109e-10	3.82376e-10	0.949612	N/S
null	0.75029	5.43263e-11	3.57405e-10	0.152002	N/S
null	1.24971	3.03079e-10	3.57405e-10	0.847998	N/S
null	0.75029	2.5859e-12	3.2375e-11	0.0798734	N/S
null	1.24971	2.97891e-11	3.2375e-11	0.920127	N/S
null	0.75029	1.9262e-14	4.50188e-13	0.0427864	N/S
null	1.24971	4.30927e-13	4.50188e-13	0.957214	*
null	0.75029	8.99488e-24	1.26245e-19	7.12494e-05	N/S
null	1.24971	1.26236e-19	1.26245e-19	0.999929	*
null	0.75029	3.8403e-11	2.09478e-10	0.183327	N/S
null	1.24971	1.71075e-10	2.09478e-10	0.816673	N/S
null	0.75029	1.91471e-11	1.28878e-10	0.148567	N/S
null	1.24971	1.09731e-10	1.28878e-10	0.851433	N/S
null	0.75029	1.29488e-11	1.08727e-10	0.119095	N/S
null	1.24971	9.5778e-11	1.08727e-10	0.880905	N/S
null	0.75029	2.86848e-11	1.51228e-10	0.189679	N/S
null	1.24971	1.22543e-10	1.51228e-10	0.810321	N/S
null	0.75029	1.24186e-11	2.80375e-10	0.0442928	N/S
null	1.24971	2.67957e-10	2.80375e-10	0.955707	*
null	0.75029	3.28097e-14	1.33361e-12	0.0246022	N/S
null	1.24971	1.3008e-12	1.33361e-12	0.975398	*
null	0.75029	3.77029e-14	1.0042e-12	0.0375451	N/S
null	1.24971	9.66499e-13	1.0042e-12	0.962455	*
null	0.75029	1.09804e-07	3.89139e-07	0.282172	N/S
null	1.24971	2.79335e-07	3.89139e-07	0.717828	N/S
null	0.75029	1.11099e-34	4.27631e-29	2.59801e-06	N/S
null	1.24971	4.2763e-29	4.27631e-29	0.999997	*
null	0.75029	8.17586e-12	6.55331e-11	0.124759	N/S
null	1.24971	5.73573e-11	6.55331e-11	0.875241	N/S
null	0.75029	3.40524e-11	2.49315e-10	0.136584	N/S
null	1.24971	2.15263e-10	2.49315e-10	0.863416	N/S
null	0.75029	1.51105e-32	3.1432e-27	4.80736e-06	N/S
null	1.24971	3.14318e-27	3.1432e-27	0.999995	*
null	0.75029	1.26589e-10	5.62845e-10	0.224909	N/S
null	1.24971	4.36256e-10	5.62845e-10	0.775091	N/S
null	0.75029	1.53718e-24	7.59808e-20	2.02312e-05	N/S
null	1.24971	7.59793e-20	7.59808e-20	0.99998	*
